pt_root_id;id
720575940635765496;7058624
720575940621186565;7332910
720575940614519157;7325870
720575940626318353;7333679
720575940622852359;7328161
720575940617643092;7331371
720575940609261892;7335634
720575940627447401;7335505
720575940624375113;7326827
720575940626212178;7325263
720575940633031725;7325844
720575940642740260;7331614
720575940633954808;7333631
720575940626644486;7334796
720575940638186842;7325003
720575940627062424;7332741
720575940624551056;7601272
720575940607416587;7334742
720575940632575388;7335608
720575940610400409;7617838
720575940616909083;7601893
720575940618853547;7332963
720575940630116601;7334157
720575940646209156;7334277
720575940610128082;7325845
720575940627042130;7325433
720575940617864961;2960480
720575940617226641;2960443
720575940643074976;2306245
720575940629987579;1725416
720575940620970445;1724761
720575940619114375;1731246
720575940619718383;1723023
720575940627010300;1731677
720575940615977522;1730456
720575940626729744;2044925
720575940616849126;1420181
720575940608288092;1722530
720575940619818879;2045315
720575940610184410;2045508
720575940630426967;1725972
720575940637807677;1723572
720575940636109658;1731434
720575940620245620;1729177
720575940606861442;1727986
720575940637296105;1419514
720575940630642380;1731281
720575940634818399;1728343
720575940630152076;1723537
720575940633762841;1419460
720575940621845530;2044943
720575940629470736;2045898
720575940625436805;1419684
720575940635635374;1419280
720575940626332166;2044999
720575940643068951;1727173
720575940638758744;1731274
720575940619212453;1420214
720575940645800739;1730163
720575940610980850;1730424
720575940639791067;1731879
720575940618831320;1420015
720575940615966097;7325275
720575940627171154;7327127
720575940638798141;7333025
720575940614295294;7335129
720575940633253602;1731734
720575940611035866;1419333
720575940628818042;2046091
720575940612751466;1725465
720575940627541066;1726500
720575940637453382;7333910
720575940628816384;7325117
720575940613223830;1727531
720575940613555618;1731405
720575940617722944;1731822
720575940620024149;1731357
720575940622821731;1731158
720575940628137987;1728845
720575940628911946;1729761
720575940630562297;1731525
720575940638973091;1724208
720575940610043346;7336274
720575940616075147;7336089
720575940620205172;7618199
720575940621490416;7335963
720575940625852676;7334629
720575940625853188;7334964
720575940626529944;7333328
720575940632179620;7331499
720575940623055433;7335964
720575940615198367;7617730
